date,symbol,open,high,low,close,volume,Day,Month,DayOfWeek
2017-12-29,RL,0.6891,0.7256,0.6998,0.7075,-0.2941,29,12,4
2017-12-29,RMD,0.3948,0.3817,0.3781,0.3647,-0.5271,29,12,4
2017-12-29,ROK,2.4127,2.3927,2.4084,2.3795,-0.5020,29,12,4
2017-12-29,ROP,3.5636,3.5267,3.5483,3.5099,-0.5652,29,12,4
2017-12-29,ROST,0.2907,0.2948,0.2971,0.2846,-0.1065,29,12,4
2017-12-29,RRC,-0.8451,-0.8449,-0.8516,-0.8556,1.0945,29,12,4
2017-12-29,RSG,0.0518,0.0533,0.0615,0.0565,-0.2612,29,12,4
2017-12-29,RTN,2.2508,2.2296,2.2540,2.2261,-0.2996,29,12,4
2017-12-29,SBAC,1.7891,1.7867,1.7938,1.7842,-0.4692,29,12,4
2017-12-29,SBUX,-0.1213,-0.1264,-0.1175,-0.1272,1.0157,29,12,4
2017-12-29,SCG,-0.4457,-0.4484,-0.4437,-0.4457,-0.2996,29,12,4
2017-12-29,SCHW,-0.2213,-0.2262,-0.2277,-0.2366,0.5583,29,12,4
2017-12-29,SEE,-0.2703,-0.2735,-0.2655,-0.2739,-0.2365,29,12,4
2017-12-29,SHW,6.3069,6.2833,6.2831,6.2353,-0.5408,29,12,4
2017-12-29,SIG,-0.1470,-0.1151,-0.1375,-0.1431,0.1000,29,12,4
2017-12-29,SJM,1.0883,1.0868,1.0975,1.0783,-0.4994,29,12,4
2017-12-29,SLB,0.0542,0.0484,0.0531,0.0525,1.1878,29,12,4
2017-12-29,SLG,0.6490,0.6513,0.6616,0.6577,-0.4206,29,12,4
2017-12-29,SNA,2.0273,2.0019,2.0065,1.9816,-0.5520,29,12,4
2017-12-29,SNI,0.3813,0.3756,0.3899,0.3771,-0.4797,29,12,4
2017-12-29,SNPS,0.3811,0.3787,0.3881,0.3746,-0.4603,29,12,4
2017-12-29,SO,-0.2908,-0.2966,-0.2886,-0.2957,0.4767,29,12,4
2017-12-29,SPGI,1.9099,1.9004,1.9183,1.8932,-0.4402,29,12,4
2017-12-29,SPG,1.9292,1.9230,1.9364,1.9354,-0.2830,29,12,4
2017-12-29,SRCL,0.0637,0.0700,0.0666,0.0633,-0.5151,29,12,4
2017-12-29,SRE,0.7731,0.7624,0.7758,0.7658,-0.3820,29,12,4
2017-12-29,STI,0.0184,0.0117,0.0129,0.0020,0.1425,29,12,4
2017-12-29,STT,0.6115,0.5985,0.6114,0.5978,-0.3641,29,12,4
2017-12-29,STX,-0.4053,-0.4063,-0.4008,-0.4085,-0.0729,29,12,4
2017-12-29,STZ,2.9547,2.9457,2.9664,2.9608,-0.0849,29,12,4
2017-12-29,SWKS,0.5783,0.5677,0.5646,0.5498,-0.1708,29,12,4
2017-12-29,SWK,1.9092,1.8954,1.9242,1.8984,-0.4806,29,12,4
2017-12-29,SYF,-0.4573,-0.4633,-0.4597,-0.4668,0.4374,29,12,4
2017-12-29,SYK,1.6550,1.6347,1.6541,1.6305,-0.4091,29,12,4
2017-12-29,SYMC,-0.6499,-0.6519,-0.6521,-0.6572,0.2314,29,12,4
2017-12-29,SYY,-0.0614,-0.0676,-0.0575,-0.0677,-0.3077,29,12,4
2017-12-29,TAP,0.3205,0.3140,0.3297,0.3174,-0.4050,29,12,4
2017-12-29,TDG,3.8301,3.8429,3.8323,3.7918,-0.5752,29,12,4
2017-12-29,TEL,0.5598,0.5473,0.5666,0.5514,-0.3799,29,12,4
2017-12-29,TGT,0.0135,0.0128,0.0184,0.0139,0.9201,29,12,4
2017-12-29,TIF,0.7272,0.7138,0.7209,0.7122,-0.4056,29,12,4
2017-12-29,TJX,0.2206,0.2139,0.2284,0.2162,0.0857,29,12,4
2017-12-29,TMK,0.4837,0.4705,0.4879,0.4733,-0.5665,29,12,4
2017-12-29,TMO,2.3015,2.2742,2.2913,2.2627,-0.3870,29,12,4
2017-12-29,TPR,-0.3609,-0.3622,-0.3573,-0.3654,-0.3070,29,12,4
2017-12-29,TRIP,-0.5405,-0.5437,-0.5388,-0.5417,-0.2210,29,12,4
2017-12-29,TROW,0.7462,0.7360,0.7465,0.7299,-0.4380,29,12,4
2017-12-29,TRV,1.2919,1.2805,1.2984,1.2840,-0.3960,29,12,4
2017-12-29,TSCO,0.1903,0.1827,0.1946,0.1853,-0.4261,29,12,4
2017-12-29,TSN,0.3100,0.2994,0.3126,0.2994,-0.4098,29,12,4
2017-12-29,TSS,0.2755,0.2650,0.2739,0.2636,-0.4498,29,12,4
2017-12-29,TWX,0.4887,0.4787,0.4994,0.4870,0.1709,29,12,4
2017-12-29,TXN,0.7243,0.7177,0.7372,0.7210,0.2217,29,12,4
2017-12-29,TXT,-0.1314,-0.1406,-0.1328,-0.1424,-0.4658,29,12,4
2017-12-29,T,-0.4557,-0.4606,-0.4546,-0.4619,7.5844,29,12,4
2017-12-29,UAA,-0.8841,-0.8859,-0.9000,-0.9031,4.4281,29,12,4
2017-12-29,UAL,0.0581,0.0531,0.0635,0.0527,0.3045,29,12,4
2017-12-29,UA,-0.9097,-0.9118,-0.9199,-0.9231,1.4259,29,12,4
2017-12-29,UDR,-0.4661,-0.4728,-0.4634,-0.4684,-0.3222,29,12,4
2017-12-29,UHS,0.9050,0.8976,0.8991,0.8818,-0.4957,29,12,4
2017-12-29,ULTA,2.8980,2.8689,2.8818,2.8722,-0.4457,29,12,4
2017-12-29,UNH,2.8794,2.8476,2.8474,2.8145,0.0776,29,12,4
2017-12-29,UNM,-0.1645,-0.1717,-0.1635,-0.1730,-0.4361,29,12,4
2017-12-29,UNP,1.2786,1.2653,1.2770,1.2562,0.0727,29,12,4
2017-12-29,UPS,0.9856,0.9908,1.0024,0.9865,0.1598,29,12,4
2017-12-29,URI,1.9738,1.9598,1.9622,1.9385,-0.4592,29,12,4
2017-12-29,USB,-0.1867,-0.1949,-0.1873,-0.1967,0.5753,29,12,4
2017-12-29,UTX,1.1529,1.1372,1.1582,1.1384,-0.0914,29,12,4
2017-12-29,VAR,0.8689,0.8523,0.8596,0.8421,-0.5375,29,12,4
2017-12-29,VFC,0.1767,0.1748,0.1839,0.1718,-0.2053,29,12,4
2017-12-29,VIAB,-0.6073,-0.6079,-0.6059,-0.6075,0.0619,29,12,4
2017-12-29,VLO,0.5097,0.5045,0.5097,0.4949,0.0757,29,12,4
2017-12-29,VMC,1.1558,1.1576,1.1484,1.1528,-0.3525,29,12,4
2017-12-29,VNO,0.2479,0.2395,0.2539,0.2472,-0.4893,29,12,4
2017-12-29,VRSK,0.5768,0.5729,0.5828,0.5687,-0.4888,29,12,4
2017-12-29,VRSN,0.9262,0.9211,0.9183,0.9015,-0.4967,29,12,4
2017-12-29,VRTX,1.5524,1.5523,1.5616,1.5406,-0.3791,29,12,4
2017-12-29,VTR,-0.0850,-0.0813,-0.0777,-0.0807,-0.1715,29,12,4
2017-12-29,VZ,-0.2002,-0.2072,-0.1991,-0.2084,2.4559,29,12,4
2017-12-29,V,0.9079,0.8935,0.9118,0.8939,0.9795,29,12,4
2017-12-29,WAT,2.3661,2.3407,2.3510,2.3224,-0.5896,29,12,4
2017-12-29,WBA,0.1475,0.1436,0.1544,0.1469,0.3143,29,12,4
2017-12-29,WDC,0.2916,0.2818,0.2839,0.2716,0.2143,29,12,4
2017-12-29,WEC,0.0370,0.0325,0.0438,0.0352,-0.2810,29,12,4
2017-12-29,WFC,-0.0542,-0.0617,-0.0584,-0.0687,2.6788,29,12,4
2017-12-29,WHR,1.9150,1.9110,1.8981,1.8795,-0.5291,29,12,4
2017-12-29,WLTW,1.5739,1.5640,1.5783,1.5556,-0.5284,29,12,4
2017-12-29,WMB,-0.6115,-0.6147,-0.6087,-0.6133,0.2533,29,12,4
2017-12-29,WMT,0.6308,0.6211,0.6341,0.6184,1.5691,29,12,4
2017-12-29,WM,0.3992,0.3918,0.4077,0.3937,-0.3007,29,12,4
2017-12-29,WRK,-0.0209,-0.0245,-0.0187,-0.0229,-0.2979,29,12,4
2017-12-29,WU,-0.8193,-0.8220,-0.8161,-0.8205,0.2256,29,12,4
2017-12-29,WYNN,1.8776,1.8607,1.8694,1.8786,-0.2378,29,12,4
2017-12-29,WYN,0.9485,0.9313,0.9454,0.9273,-0.3812,29,12,4
2017-12-29,WY,-0.5255,-0.5290,-0.5235,-0.5272,0.0491,29,12,4
2017-12-29,XEC,1.0673,1.0519,1.0466,1.0381,-0.5089,29,12,4
2017-12-29,XEL,-0.2952,-0.2999,-0.2875,-0.2954,0.2084,29,12,4
2017-12-29,XLNX,0.0729,0.0667,0.0640,0.0530,-0.3550,29,12,4
2017-12-29,XL,-0.5237,-0.5299,-0.5223,-0.5291,-0.3368,29,12,4
2017-12-29,XOM,0.3528,0.3436,0.3593,0.3457,1.9981,29,12,4
2017-12-29,XRAY,0.0332,0.0304,0.0344,0.0244,-0.3682,29,12,4
2017-12-29,XRX,-0.6330,-0.6371,-0.6321,-0.6375,-0.1752,29,12,4
2017-12-29,XYL,0.0735,0.0676,0.0735,0.0671,-0.3279,29,12,4
2017-12-29,YUM,0.3282,0.3169,0.3221,0.3091,-0.2343,29,12,4
2017-12-29,ZBH,1.0343,1.0200,1.0318,1.0139,-0.3351,29,12,4
2017-12-29,ZION,-0.2379,-0.2414,-0.2377,-0.2463,-0.2609,29,12,4
2017-12-29,ZTS,0.1461,0.1386,0.1484,0.1364,-0.1234,29,12,4
